date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2022-07-11,25206,982,1602,135319596,31308315,12802269,64751307,63410809
2022-07-12,57417,1475,2234,135369872,31315111,12802269,64752782,63413043
2022-07-13,59962,1184,1959,135421644,31323094,12802272,64753966,63415002
2022-07-14,65743,1166,1906,135478690,31331574,12802274,64755132,63416908
2022-07-15,54764,1401,2152,135523251,31341455,12802275,64756533,63419060
2022-07-16,16369,672,799,135535497,31345371,12802290,64757205,63419859
2022-07-17,3904,158,215,135538545,31346154,12802290,64757363,63420074
2022-07-18,26203,679,936,135560430,31350294,12802314,64758042,63421010
2022-07-19,52222,1021,1593,135606565,31356127,12802314,64759063,63422603
2022-07-20,50816,976,1501,135651264,31362038,12802314,64760039,63424104
2022-07-21,63994,1255,1787,135707106,31369877,12802314,64761294,63425891
2022-07-22,49042,2048,2164,135748558,31376723,12802314,64763342,63428055
2022-07-23,11047,552,681,135757029,31379112,12802314,64763894,63428736
2022-07-24,4247,372,515,135760583,31379712,12802314,64764266,63429251
2022-07-25,22268,576,895,135779943,31382488,12802324,64764842,63430146
2022-07-26,51379,1129,1682,135825521,31388024,12802325,64765971,63431828
2022-07-27,52969,1059,1557,135872285,31393968,12802326,64767030,63433385
2022-07-28,55278,973,1565,135921663,31399612,12802326,64768003,63434950
2022-07-29,41835,1330,1477,135958010,31404620,12802338,64769333,63436427
2022-07-30,9551,476,708,135965489,31406534,12802338,64769809,63437135
2022-07-31,2836,124,146,135967610,31407146,12802339,64769933,63437281
2022-08-01,19512,817,991,135984043,31409948,12802461,64770750,63438272
2022-08-02,38293,781,1184,136017980,31414070,12802461,64771531,63439456
2022-08-03,41692,909,1479,136055080,31418438,12802470,64772440,63440935
2022-08-04,42661,882,1294,136093652,31422295,12802470,64773322,63442229
2022-08-05,32635,948,1293,136121912,31426430,12802471,64774270,63443522
2022-08-06,9213,458,643,136129028,31428351,12802471,64774728,63444165
2022-08-07,2094,102,136,136130796,31428628,12802471,64774830,63444301
2022-08-08,17249,534,714,136145620,31430866,12802473,64775364,63445015
2022-08-09,38067,813,1290,136179530,31434863,12802473,64776177,63446305
2022-08-10,39326,866,1424,136214811,31438735,12802473,64777043,63447729
2022-08-11,40723,883,1421,136251351,31442705,12802473,64777926,63449150
2022-08-12,28816,881,1221,136276689,31445950,12802473,64778807,63450371
2022-08-13,5939,370,497,136281237,31447153,12802478,64779177,63450868
2022-08-14,1964,115,145,136282870,31447371,12802478,64779292,63451013
2022-08-15,13604,490,689,136294455,31449203,12802486,64779782,63451702
2022-08-16,32566,822,1294,136323713,31452287,12802487,64780604,63452996
2022-08-17,35407,1090,1485,136355893,31455250,12802492,64781694,63454481
2022-08-18,42386,3865,3627,136394516,31458618,12802573,64785559,63458108
2022-08-19,29367,960,1415,136419660,31462561,12802574,64786519,63459523
2022-08-20,7094,301,506,136425292,31463885,12802577,64786820,63460029
2022-08-21,2304,97,162,136427098,31464314,12802577,64786917,63460191
2022-08-22,16934,572,789,136441385,31466792,12802580,64787489,63460980
2022-08-23,34894,849,1248,136472497,31470408,12802580,64788338,63462228
2022-08-24,38282,924,1317,136506796,31474132,12802580,64789262,63463545
2022-08-25,38073,763,1242,136540813,31477947,12802581,64790025,63464787
2022-08-26,29124,816,1339,136566050,31481559,12802582,64790841,63466126
2022-08-27,6913,347,474,136571129,31483218,12802582,64791188,63466600
2022-08-28,1818,101,106,136572556,31483571,12802582,64791289,63466706
2022-08-29,16839,557,768,136587138,31485615,12802590,64791846,63467474
2022-08-30,33289,779,1224,136617160,31488681,12802590,64792625,63468698
2022-08-31,36291,947,1345,136649846,31492042,12802590,64793572,63470043
2022-09-01,32137,786,1093,136679222,31494577,12802590,64794358,63471136
2022-09-02,27447,969,1226,136703611,31497417,12802591,64795327,63472362
2022-09-03,5983,370,568,136708537,31498307,12802591,64795697,63472930
2022-09-04,1790,82,102,136710115,31498483,12802591,64795779,63473032
2022-09-05,13975,619,700,136722422,31500001,12802592,64796398,63473732
2022-09-06,28049,856,1202,136748088,31502180,12802592,64797254,63474934
2022-09-07,29324,783,1151,136774557,31504606,12802592,64798037,63476085
2022-09-08,29704,852,1198,136800972,31507026,12802594,64798889,63477283
2022-09-09,21629,882,1120,136819278,31509222,12802594,64799771,63478403
2022-09-10,6776,375,513,136824453,31510179,12802594,64800146,63478916
2022-09-11,1770,105,158,136825791,31510452,12802594,64800251,63479074
2022-09-12,14969,539,690,136838420,31511654,12802597,64800790,63479764
2022-09-13,44187,846,1239,136876402,31515236,12802597,64801636,63481003
2022-09-14,51034,891,1263,136918691,31519567,12802597,64802527,63482266
2022-09-15,55029,875,1334,136965409,31524193,12802602,64803402,63483600
2022-09-16,44110,799,1179,137000245,31528718,12802625,64804201,63484779
2022-09-17,12240,312,472,137008375,31530659,12802625,64804513,63485251
2022-09-18,3334,96,165,137010912,31531171,12802628,64804609,63485416
2022-09-19,23358,591,681,137029885,31533180,12802640,64805200,63486097
2022-09-20,52775,689,1130,137074410,31536797,12802640,64805889,63487227
2022-09-21,58535,831,1057,137122212,31540261,12802640,64806720,63488284
2022-09-22,64907,843,1303,137177036,31543783,12802650,64807563,63489587
2022-09-23,50381,711,1130,137216002,31547030,12802650,64808274,63490717
2022-09-24,13576,364,590,137224079,31548108,12802650,64808638,63491307
2022-09-25,5032,152,183,137227946,31548655,12802694,64808790,63491490
2022-09-26,31328,698,729,137252445,31550185,12802705,64809488,63492219
2022-09-27,75220,859,1209,137316274,31553126,12802705,64810347,63493428
2022-09-28,83920,1133,1629,137385704,31555352,12802705,64811480,63495057
2022-09-29,97999,981,1843,137467701,31558261,12802705,64812461,63496900
2022-09-30,82746,935,1554,137529084,31561122,12802706,64813396,63498454
2022-10-01,25196,367,622,137543645,31561712,12802706,64813763,63499076
2022-10-02,6208,173,370,137547802,31561902,12802706,64813936,63499446
2022-10-03,8773,282,373,137554073,31562578,12802706,64814218,63499819
2022-10-04,62159,833,1173,137568055,31563329,12802731,64815051,63500992
2022-10-05,88556,1130,1260,137586357,31564313,12802731,64816181,63502252
2022-10-06,105073,1218,1303,137603613,31564927,12802731,64817399,63503555
2022-10-07,92929,1313,1408,137618678,31565779,12802731,64818712,63504963
2022-10-08,27551,426,531,137624450,31566199,12802731,64819138,63505494
2022-10-09,7782,263,256,137626557,31566332,12802731,64819401,63505750
2022-10-10,50806,656,797,137633934,31566684,12802731,64820057,63506547
2022-10-11,99119,952,1011,137644086,31567036,12802732,64821009,63507558
2022-10-12,106955,1137,1109,137655152,31567350,12802732,64822146,63508667
2022-10-13,124924,1153,1251,137667249,31567855,12802732,64823299,63509918
2022-10-14,108150,1700,1088,137678206,31568199,12802873,64824999,63511006
2022-10-15,35948,493,565,137683812,31568676,12802873,64825492,63511571
2022-10-16,10025,167,197,137685332,31568778,12802873,64825659,63511768
2022-10-17,59917,585,641,137692280,31568952,12802898,64826244,63512409
2022-10-18,111412,857,1022,137701961,31569218,12802898,64827101,63513431
2022-10-19,122448,1130,1187,137714491,31569353,12802900,64828231,63514618
2022-10-20,125888,1032,1037,137720947,31569559,12802941,64829263,63515655
2022-10-21,114096,1271,1071,137731424,31569835,12802942,64830534,63516726
2022-10-22,33580,373,374,137735730,31569912,12802942,64830907,63517100
2022-10-23,7864,57,87,137736444,31569933,12802942,64830964,63517187
2022-10-24,71001,849,584,137746275,31570046,12802954,64831813,63517771
2022-10-25,108914,845,925,137757966,31570189,12802955,64832658,63518696
2022-10-26,97664,966,809,137763621,31570408,12802955,64833624,63519505
2022-10-27,132071,950,1151,137777803,31570612,12802955,64834574,63520656
2022-10-28,100144,1427,983,137786868,31570834,12802955,64836001,63521639
2022-10-29,25006,372,346,137789920,31570985,12802955,64836373,63521985
2022-10-30,5706,38,70,137790792,31571000,12802955,64836411,63522055
2022-10-31,30060,347,358,137793845,31571155,12802970,64836758,63522413
2022-11-01,44217,481,516,137798060,31571188,12802970,64837239,63522929
2022-11-02,89299,797,897,137807372,31571266,12802970,64838036,63523826
2022-11-03,117119,1112,1215,137818693,31571521,12802973,64839148,63525041
2022-11-04,88055,862,939,137826430,31571678,12802974,64840010,63525980
2022-11-05,20942,328,406,137828580,31571769,12802974,64840338,63526386
2022-11-06,6602,111,111,137829227,31571811,12802974,64840449,63526497
2022-11-07,47973,509,463,137833003,31571842,12802975,64840958,63526960
2022-11-08,107884,1257,985,137844283,31572030,12802975,64842215,63527945
2022-11-09,106250,948,799,137852682,31572168,12802975,64843163,63528744
2022-11-10,115454,1201,948,137861475,31572317,12802975,64844364,63529692
2022-11-11,89446,748,878,137868522,31572458,12802975,64845112,63530570
2022-11-12,19729,234,273,137870457,31572561,12802975,64845346,63530843
2022-11-13,6248,70,90,137871072,31572571,12802975,64845416,63530933
2022-11-14,45313,533,463,137874782,31572687,12802981,64845949,63531396
2022-11-15,86216,769,695,137881104,31572806,12802981,64846718,63532091
2022-11-16,88032,878,677,137888078,31572946,12802981,64847596,63532768
2022-11-17,100837,657,686,137895508,31573051,12802981,64848253,63533454
2022-11-18,74636,743,762,137901090,31573185,12802981,64848996,63534216
2022-11-19,18306,431,259,137903162,31573253,12802981,64849427,63534475
2022-11-20,4733,48,66,137903694,31573320,12802981,64849475,63534541
2022-11-21,38837,407,489,137906644,31573347,12802989,64849882,63535030
2022-11-22,74015,601,634,137912453,31573475,12802989,64850483,63535664
2022-11-23,75558,715,621,137918185,31573519,12802989,64851198,63536285
2022-11-24,85122,711,700,137924653,31573621,12802989,64851909,63536985
2022-11-25,59263,534,647,137928796,31573709,12802992,64852443,63537632
2022-11-26,12859,337,242,137930489,31573827,12802992,64852780,63537874
2022-11-27,4596,97,109,137930917,31573883,12802992,64852877,63537983
2022-11-28,28740,341,282,137933299,31573933,12802993,64853218,63538265
2022-11-29,59061,522,529,137937543,31574133,12802993,64853740,63538794
2022-11-30,60885,570,689,137941985,31574353,12802993,64854310,63539483
2022-12-01,65957,598,591,137946425,31574480,12802993,64854908,63540074
2022-12-02,46648,639,563,137949759,31574585,12802993,64855547,63540637
2022-12-03,10988,261,512,137951179,31574651,12802993,64855808,63541149
2022-12-04,2549,20,39,137951648,31574681,12802993,64855828,63541188
2022-12-05,24418,214,268,137953385,31574752,12802993,64856042,63541456
2022-12-06,47521,393,347,137956887,31574929,12802993,64856435,63541803
2022-12-07,53979,436,589,137960711,31575018,12802993,64856871,63542392
2022-12-08,55995,513,539,137965102,31575157,12802993,64857384,63542931
2022-12-09,39894,487,521,137968588,31575278,12803007,64857871,63543452
2022-12-10,9059,145,219,137969551,31575332,12803007,64858016,63543671
2022-12-11,3622,56,123,137969958,31575448,12803007,64858072,63543794
2022-12-12,20063,326,310,137971961,31575487,12803007,64858398,63544104
2022-12-13,41042,390,447,137974979,31575644,12803007,64858788,63544551
2022-12-14,43437,470,618,137978407,31575709,12803013,64859258,63545169
2022-12-15,47367,530,459,137982132,31575795,12803013,64859788,63545628
2022-12-16,34689,279,421,137985007,31575901,12803013,64860067,63546049
2022-12-17,7720,136,161,137985784,31575963,12803013,64860203,63546210
2022-12-18,2182,27,36,137985961,31576021,12803013,64860230,63546246
2022-12-19,17304,277,330,137987522,31576071,12803016,64860507,63546576
2022-12-20,25852,234,370,137989522,31576085,12803016,64860741,63546946
2022-12-21,25984,446,530,137991849,31576360,12803016,64861187,63547476
2022-12-22,22391,376,496,137993838,31576402,12803016,64861563,63547972
2022-12-23,14196,176,254,137994867,31576418,12803016,64861739,63548226
2022-12-24,969,44,76,137994978,31576475,12803016,64861783,63548302
2022-12-25,1074,2,2,137994986,31576520,12803016,64861785,63548304
2022-12-26,873,25,27,137995072,31576520,12803016,64861810,63548331
2022-12-27,9157,188,316,137996178,31576633,12803016,64861998,63548647
2022-12-28,10790,237,342,137997253,31576815,12803016,64862235,63548989
2022-12-29,10887,282,270,137999014,31576851,12803016,64862517,63549259
2022-12-30,12273,254,395,138000652,31577046,12803022,64862771,63549654
2022-12-31,4507,47,69,138001102,31577091,12803022,64862818,63549723
2023-01-01,260,5,3,138001141,31577091,12803022,64862823,63549726
2023-01-02,3164,98,154,138001631,31577125,12803022,64862921,63549880
2023-01-03,6736,80,101,138002123,31577130,12803022,64863001,63549981
2023-01-04,9821,154,236,138003005,31577142,12803022,64863155,63550217
2023-01-05,13495,249,264,138004293,31577193,12803022,64863404,63550481
2023-01-06,9121,94,160,138005075,31577214,12803022,64863498,63550641
2023-01-07,3111,181,143,138005341,31577266,12803022,64863679,63550784
2023-01-08,1614,12,12,138005461,31577266,12803022,64863691,63550796
2023-01-09,6741,117,139,138006114,31577287,12803022,64863808,63550935
2023-01-10,17555,238,342,138007462,31577304,12803022,64864046,63551277
2023-01-11,20010,266,310,138008305,31577453,12803022,64864312,63551587
2023-01-12,22662,370,425,138010152,31577536,12803022,64864682,63552012
2023-01-13,17508,371,342,138011328,31577742,12803023,64865053,63552354
2023-01-14,2901,63,68,138011559,31577752,12803023,64865116,63552422
2023-01-15,1536,27,33,138011843,31577843,12803023,64865143,63552455
2023-01-16,6997,134,148,138012394,31577873,12803023,64865277,63552603
2023-01-17,14922,302,252,138013524,31577881,12803023,64865579,63552855
2023-01-18,15120,688,312,138014658,31577922,12803023,64866267,63553167
2023-01-19,16594,314,381,138015809,31577955,12803023,64866581,63553548
2023-01-20,10565,334,235,138016521,31578012,12803023,64866915,63553783
2023-01-21,1395,45,19,138016565,31578013,12803023,64866960,63553802
2023-01-22,770,14,8,138016577,31578013,12803023,64866974,63553810
